學校,系所,計畫類別,系所招生對象,招生名額,考試項目,日程公告,聯絡資訊,相關連結,備註,區域公私立,學校名稱,地區,City,考試方式簡記,Search_Tags
"【北區、國立】
國立臺灣大學",動物科學技術學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",1,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/06 ~ 2025/12/06
【放榜日期】2025/12/24","聯絡人：陳宜鴻
聯絡電話：(02)33664140",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),【備註】詳細日程請以簡章公告為主。,北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",國際體育運動事務學士學位學程,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",1,"審查:50%(就所繳資料加以審查後決定可參加口試之名單。)
口試:50%(通過本學系書面資料審查，且成績排名前6名者，得以參加口試。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/11 ~ 2025/12/11
【放榜日期】2025/12/24","聯絡人：李芸蘋
聯絡電話：(02)33665959#480",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),"【備註】1.詳細日程請以簡章公告為主。
2.本項招生考生入學就讀後，不得僅以雙主修之加修學系資格畢業。",北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Interdisciplinary, Cross-disciplinary, General Program, Multidisciplinary, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",森林環境暨資源學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",6,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/13 ~ 2025/12/13
【放榜日期】2025/12/24","聯絡人：林建村
聯絡電話：(02)33664609",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),"【備註】1.詳細日程請以簡章公告為主。
2.本項招生考生入學就讀後，不得僅以雙主修之加修學系資格畢業。",北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",園藝暨景觀學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",1,"審查:50%(就所繳資料加以審查後決定可參加口試之名單。)
口試:50%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/05 ~ 2025/12/05
【放榜日期】2025/12/24","聯絡人：莊立綺
聯絡電話：(02)33664868",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),"【備註】1.詳細日程請以簡章公告為主。
2.本項招生考生入學就讀後，不得僅以雙主修之加修學系資格畢業。",北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",經濟學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",5,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/05 ~ 2025/12/05
【放榜日期】2025/12/24","聯絡人：吳孟珊
聯絡電話：(02)33668448",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),【備註】詳細日程請以簡章公告為主。,北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Business, Management, Economics, Finance, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",農業經濟學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",1,"審查:30%(就所繳資料加以審查後決定可參加口試之名單。)
口試:70%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/05 ~ 2025/12/05
【放榜日期】2025/12/24","聯絡人：魏郁庭
聯絡電話：(02)33662676",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),"【備註】1.詳細日程請以簡章公告為主。
2.本項招生考生入學就讀後，不得僅以雙主修之加修學系資格畢業。",北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Business, Management, Economics, Finance, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",農藝學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",2,"審查:30%(就所繳資料加以審查後決定可參加口試之名單。)
口試:70%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/05 ~ 2025/12/05
【放榜日期】2025/12/24","聯絡人：黃秀鳳
聯絡電話：(02)33664751",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),"【備註】1.詳細日程請以簡章公告為主。
2.以報名資格第1點報考者，得於報名時先檢附決賽報名文件，並於114年11月25日(星期二)下午5時前，將得獎名次證明以 email至：shufong@ntu.edu.tw。
3.本項招生考生入學就讀後，不得僅以雙主修之加修學系資格畢業。",北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",數學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",15,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/12 ~ 2025/12/12
【放榜日期】2025/12/24","聯絡人：陳彥希
聯絡電話：(02)33662815",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),【備註】詳細日程請以簡章公告為主。,北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Math, Statistics, Data Science, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",機械工程學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",1,"審查:40%(就所繳資料加以審查後決定可參加口試之名單。)
口試:60%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/05 ~ 2025/12/05
【放榜日期】2025/12/24","聯絡人：歐秋屏
聯絡電話：(02)33662733",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),"【備註】1.詳細日程請以簡章公告為主。
2.本項招生考生入學就讀後，不得僅以雙主修之加修學系資格畢業。",北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣師範大學",公民教育與活動領導學系,特殊選才,"特殊才能
不同教育資歷：
1.境外臺生
2.新住民及其子女
3.經濟弱勢學生
4.實驗教育學生
5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者",7,"書面審查：一、成績證明或學習狀況/ 自傳（學生自述）/ 讀書計畫（含申請動機、學習計畫等）/ 其他有利審查資料
	 二、符合「報考資格附加規定」之證明資料","【簡章公告】2025/9/8  
【報名日期】2025/09/30 ~ 2025/10/08
【考試日期】2025/11/01 ~ 2025/11/16
【放榜日期】2025/12/4","聯絡人：陳助教
聯絡電話：(02)7749-1868",簡章網址 ( https://enroll.itc.ntnu.edu.tw/Enroll/SuperEntry ),"【備註】1.各項目依所占比率加計後，總成績滿分為100分。
2.各項資料均須於報名時繳齊，逾期不接受補繳。",北區、國立,國立臺灣師範大學,台北,Taipei,審查 Document Review,"Taipei, 台北, NTNU, Taiwan Normal University, Document Review, Portfolio, Experimental Education, Homeschooling, Self-taught, Overseas Student, Bilingual, International, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣師範大學",化學系,特殊選才,"特殊才能
不同教育資歷：
1.境外臺生
2.新住民及其子女
3.經濟弱勢學生
4.實驗教育學生",2,"書面審查
口試","【簡章公告】2025/9/8  
【報名日期】2025/09/30 ~ 2025/10/08
【考試日期】2025/11/01 ~ 2025/11/16
【放榜日期】2025/12/4","聯絡人：林助教
聯絡電話：(02)7749-6109",簡章網址 ( https://enroll.itc.ntnu.edu.tw/Enroll/SuperEntry ),"【備註】各考試項目滿分皆為100 分；
各項目依所占比率加計後，總成績滿分為100分。",北區、國立,國立臺灣師範大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTNU, Taiwan Normal University, Chemistry, Chem, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Overseas Student, Bilingual, International, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣師範大學",生命科學系,特殊選才,"特殊才能
不同教育資歷：
1.境外臺生
2.新住民及其子女
3.經濟弱勢學生
4.實驗教育學生",3,"書面審查：就所繳資料加以審查
口試：針對報考動機、生物專業問題等進行問答","【簡章公告】2025/9/8  
【報名日期】2025/09/30 ~ 2025/10/08
【考試日期】2025/11/01 ~ 2025/11/16
【放榜日期】2025/12/4","聯絡人：翁助教
聯絡電話：(02)7749-6291",簡章網址 ( https://enroll.itc.ntnu.edu.tw/Enroll/SuperEntry ),"【備註】1.各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。 
2.招生目標：對生命科學具特殊性向與才能者，期能培育優秀的生命科學人才。 
3.本系必修課包含實驗課，需於課堂操作儀器設備及藥品，考生須具備維護個人安全之能力。",北區、國立,國立臺灣師範大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTNU, Taiwan Normal University, Biology, Bio, Life Science, Agriculture, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Overseas Student, Bilingual, International, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣師範大學",地球科學系,特殊選才,"特殊才能
不同教育資歷：
1.境外臺生
2.新住民及其子女
3.經濟弱勢學生
4.實驗教育學生
5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者",5,"書面審查：就所繳資料加以審查。
初試通過者始得參加複試，成績特優者，得免複試逕行錄取，逕取生錄取總成績佔分比例為初試100%。
口試","【簡章公告】2025/9/8  
【報名日期】2025/09/30 ~ 2025/10/08
【考試日期】2025/11/01 ~ 2025/11/16
【放榜日期】2025/12/4","聯絡人：劉助教
聯絡電話：(02)7749-6374",簡章網址 ( https://enroll.itc.ntnu.edu.tw/Enroll/SuperEntry ),"【備註】1.各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。 
2.本系為師資培育學系。 
3.經此管道錄取本系者，不得轉系至其他系所。 
4.凡擬就讀本校大學部之學生，其學科能力測驗成績優異或曾獲國際重要競賽獎項，並獲學系推薦者，可依本校「學士班新生入學成績優異獎學金實施要點」申請獎學金（總金額新臺幣50萬元整）。",北區、國立,國立臺灣師範大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTNU, Taiwan Normal University, Physics, Atmosphere, Earth Science, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Overseas Student, Bilingual, International, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣師範大學",物理學系,特殊選才,"特殊才能
不同教育資歷：
1.境外臺生
2.新住民及其子女
3.經濟弱勢學生
4.實驗教育學生
5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者",2,"書面審查（滿分100分）
口試（滿分100分）","【簡章公告】2025/9/8  
【報名日期】2025/09/30 ~ 2025/10/08
【考試日期】2025/11/01 ~ 2025/11/16
【放榜日期】2025/12/4","聯絡人：高助教
聯絡電話：(02)7749-6004",簡章網址 ( https://enroll.itc.ntnu.edu.tw/Enroll/SuperEntry ),【備註】各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。,北區、國立,國立臺灣師範大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTNU, Taiwan Normal University, Physics, Atmosphere, Earth Science, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Overseas Student, Bilingual, International, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣師範大學",社會教育學系,特殊選才,"特殊才能
不同教育資歷：
1.新住民及其子女
2.經濟弱勢學生
3.實驗教育學生",6,"書面審查：就所繳資料加以審查。
初試成績特優者，得免複試逕行錄取，逕取生錄取總成績佔分比例為初試100%。
口試：必要時得辦理口試進行甄選。","【簡章公告】2025/9/8  
【報名日期】2025/09/30 ~ 2025/10/08
【考試日期】2025/11/01 ~ 2025/11/16
【放榜日期】2025/12/4","聯絡人：林助教
聯絡電話：(02)7749-3803",簡章網址 ( https://enroll.itc.ntnu.edu.tw/Enroll/SuperEntry ),【備註】各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。,北區、國立,國立臺灣師範大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTNU, Taiwan Normal University, Social Sciences, Psychology, Communication, History, Philosophy, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣師範大學",表演藝術學系,特殊選才,"特殊才能
不同教育資歷：
1.境外臺生
2.新住民及其子女
3.經濟弱勢學生
4.實驗教育學生",7,"書面審查
術科考試－演唱、朗讀及肢體呈現(以初試總分擇優至多36名進複試)","【簡章公告】2025/9/8  
【報名日期】2025/09/30 ~ 2025/10/08
【考試日期】2025/11/01 ~ 2025/11/16
【放榜日期】2025/12/4","聯絡人：謝助教
聯絡電話：(02)7749-5487",簡章網址 ( https://enroll.itc.ntnu.edu.tw/Enroll/SuperEntry ),"【備註】1.各科滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。惟術科考試須達85分，始予錄取。 
2.各項資料均須於報名時繳齊，逾期不接受補繳。 
3.錄取之新生不得申請保留入學資格（惟服兵役不在此限）。 
4.本學位學程需常使用視力、聽力及肢體表現。",北區、國立,國立臺灣師範大學,台北,Taipei,審查 Document Review,"Taipei, 台北, NTNU, Taiwan Normal University, Arts, Design, Music, Drama, Film, Animation, Document Review, Portfolio, Experimental Education, Homeschooling, Self-taught, Overseas Student, Bilingual, International, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣師範大學",美術學系,特殊選才,"特殊才能
不同教育資歷：
1.境外臺生
2.新住民及其子女
3.經濟弱勢學生
4.實驗教育學生",2,"術科考試
口試暨作品與審查資料","【簡章公告】2025/9/8  
【報名日期】2025/09/30 ~ 2025/10/08
【考試日期】2025/11/01 ~ 2025/11/16
【放榜日期】2025/12/4","聯絡人：曾助教
聯絡電話：(02)7749-3021",簡章網址 ( https://enroll.itc.ntnu.edu.tw/Enroll/SuperEntry ),"【備註】1.各科滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。 
2.報考資格附加規定之獲獎資歷需為近三年內(112~114年間)獲得，並於報考時檢附相關證明文件，以供審核報考資格，逾期恕不接受補繳，亦不接受現場交件。 
3.作品與資料審查，請於口試時以簡報方式呈現，不需另外繳交紙本作品集與相關資料。 
4.錄取之新生不得申請保留入學資格（惟服兵役不在此限）。",北區、國立,國立臺灣師範大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTNU, Taiwan Normal University, Arts, Design, Music, Drama, Film, Animation, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Overseas Student, Bilingual, International, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣師範大學",英語學系,特殊選才,"特殊才能
不同教育資歷：
1.新住民及其子女
2.經濟弱勢學生
3.實驗教育學生",3,"書面審查：就所繳資料加以審查
口試（初試達一定標準者，始得參加複試）","【簡章公告】2025/9/8  
【報名日期】2025/09/30 ~ 2025/10/08
【考試日期】2025/11/01 ~ 2025/11/16
【放榜日期】2025/12/4","聯絡人：王助教
聯絡電話：(02)7749-1802",簡章網址 ( https://enroll.itc.ntnu.edu.tw/Enroll/SuperEntry ),"【備註】1.各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。  
2.各項資料均須於報名時繳齊，逾期不接受補繳。 
3.所繳之各項資料均不退還，請自存底本。 
4.錄取生須通過全民英檢高級複試檢定（或等同之國際標準化測驗），始得畢業。",北區、國立,國立臺灣師範大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTNU, Taiwan Normal University, Foreign Languages, English, Linguistics, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣師範大學",音樂學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",3,"書面審查：就所繳資料加以審查。
術科及面試。","【簡章公告】2025/9/8  
【報名日期】2025/09/30 ~ 2025/10/08
【考試日期】2025/11/01 ~ 2025/11/16
【放榜日期】2025/12/4","聯絡人：許助教
聯絡電話：(02)7749-3013",簡章網址 ( https://enroll.itc.ntnu.edu.tw/Enroll/SuperEntry ),【備註】主修科目限鋼琴、弦樂（小提琴、中提琴、大提琴、低音提琴、豎琴）、管樂（長笛、單簧管、雙簧管、法國號、低音管、小號、長號、薩克斯管、上低音號、低音號），請於報名時選定。,北區、國立,國立臺灣師範大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTNU, Taiwan Normal University, Arts, Design, Music, Drama, Film, Animation, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
